date,old_ticker,new_ticker
20/04/2022,DRW,WTRE
14/04/2022,MCEF,MFLX
01/04/2022,CWC,TIME
28/2/2022,LOWC,NZAC
28/2/2022,FDIV,HISF
23/2/2022,CAPE,CAPD
10/02/2022,XBUY,EMFQ
31/1/2022,META,METV
26/1/2022,FTXD,ISHP
18/1/2022,DOO,AIVI
18/1/2022,DTN,AIVL
10/12/2021,GOAT,MOTG
01/11/2021,FWDB,MENV
29/10/2021,GXF,NORW
21/10/2021,FTXD,ISHP
18/8/2021,ACSG,EMCR
09/08/2021,NVMZ,NOVZ
02/08/2021,KCCB,KHYB
28/04/2021,KCNY,KBND
01/04/2021,LNGR,AGNG
25/03/2021,PZD,ERTH
19/03/2021,JKD,ILCB
19/03/2021,JKE,ILCG
19/03/2021,JKF,ILCV
19/03/2021,JKG,IMCB
19/03/2021,JKH,IMCG
19/03/2021,JKI,IMCV
19/03/2021,JKJ,ISCB
19/03/2021,JKK,ISCG
19/03/2021,JKL,ISCV
15/03/2021,SOVB,FAIL
01/04/2021,KCNY,KBND
01/02/2021,YLCO,RNRG
02/11/2020,ACT,VICE
20/12/1999,RP,AVE
16/12/1999,EKFG,AMTCQ
8/12/1999,HPH,HRZIQ
6/12/1999,MABXA,MABAA
2/12/1999,TTX,TLTXQ
2/12/1999,ALD,HON
1/12/1999,PECX,PECN
30/11/1999,XON,XOM
29/11/1999,ALT,ATI
22/11/1999,NOV,LYRI
19/11/1999,ONSL,EGHDQ
17/11/1999,FNTV,IAGI
16/11/1999,LSN,LSNS
15/11/1999,DEN,PRGP
12/11/1999,OFPI,SPOP
9/11/1999,AVC,AVCA
5/11/1999,EGG,RVTY
4/11/1999,APT,SAFE
29/10/1999,WNUT,THCG
28/10/1999,INLD,VCAT
28/10/1999,TSI,NYFX
18/10/1999,MLCH,PLUS
15/10/1999,AINW,HTVNQ
4/10/1999,FM,JACK
29/9/1999,TOYOY,TM
27/9/1999,MHGI,MHGU
24/9/1999,EVNC,EVAN
23/9/1999,PQT,HYPRQ
16/9/1999,ACYT,TPTH
14/9/1999,MDM,CMX
13/9/1999,CODY,POPM
9/9/1999,SSII,TDKM
7/9/1999,SGT,SGTN
2/9/1999,UNV,UTLV
2/9/1999,IATR,NTCS
26/8/1999,FDLNB,DZB
26/8/1999,FDLNA,DZA
25/8/1999,FHAN,LTS
25/8/1999,ARM.A,ARMGQ
23/8/1999,ITR,ITRT
22/8/1999,RSES,WEFN
18/8/1999,SUNH,SDHM
16/8/1999,CYP,QCOR
